Scenario,lambda,env.beta,seed,sigma2x,kappa,nsamp,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Default,-3,1.2,628159,1,0.05,100,8,347,structured,0.657318016,0.543162526,"21, 41, 101, 121, 181, 201, 261, 341, 1, 81, 161, 241, 281, 321, 381, 61, 221","1, 61, 81, 141, 161, 181, 201, 281, 321, 361, 381, 41, 101, 121, 241, 261, 301, 341, 21, 221",74.57626486,2
Default,-3,1.2,628159,1,0.05,100,8,347,unstructured,2.311398521,0.585707878,"41, 61, 121, 141, 221, 301, 381","1, 21, 81, 101, 161, 181, 241, 261, 321",41.19035602,2
Default,-3,1.2,628159,1,0.05,100,8,347,joint,1.435860082,0.597597596,"61, 121, 141, 221, 301, 381","1, 81, 101, 161, 181, 261, 321, 341, 21, 241",63.39362597,2
Default,-3,1.2,628159,1,0.05,100,8,347,unstructuredcov,3.894575028,0.793111156,"41, 121, 141, 201, 221, 301, 381, 61, 281, 241, 321","21, 101, 181, 261, 361, 1, 41, 81, 121, 161, 241, 381, 201, 281, 341",42.37542391,2
Default,-3,1.2,628159,1,0.05,100,8,347,jointcov,0.707343886,0.790846125,"41, 121, 141, 201, 221, 301, 381, 61, 281, 241, 321","21, 101, 261, 281, 341, 361, 1, 41, 81, 121, 161, 181, 241, 381, 201",65.39674115,2
Default,-3,1.2,628159,1,0.05,100,8,347,covariate,0.69571481,0.715292282,"41, 101, 121, 181, 201, 221, 261, 301, 341, 381, 21, 61, 141, 281, 361, 81, 241, 321, 1","1, 21, 61, 81, 141, 161, 181, 221, 301, 101, 261, 321, 341, 281, 361, 381, 41, 121, 201, 241",24.1593821,2
Default,-3,1.2,628159,1,0.05,100,8,347,covariatebias,0.65309772,0.720505429,"41, 101, 121, 181, 201, 221, 261, 301, 341, 381, 21, 61, 141, 281, 361, 1, 81, 161, 241, 321","1, 61, 81, 141, 161, 181, 321, 101, 261, 341, 21, 221, 281, 301, 361, 381, 41, 121, 201, 241",17.13998079,2
Default,-3,1.2,628159,1,0.05,100,8,347,correlation_str,1.010572815,0.678901636,"41, 121, 141, 221, 301, 381, 61, 281","1, 81, 101, 161, 241, 261, 321, 341, 21, 181, 121, 201, 361",94.7024169,2
Default,-3,1.2,628159,1,0.05,100,8,347,correlation_uns,1.272443261,0.593165154,"61, 141, 221, 301, 381","21, 81, 101, 181, 261, 341, 321, 121, 161, 201, 241, 361",94.7024169,2
Default,-3,1.2,628159,1,0.05,100,8,347,correlationbias_str,0.680147779,0.81737419,"41, 121, 201, 221, 301, 381, 61, 141, 261, 281, 361, 241","21, 101, 181, 361, 1, 41, 81, 121, 161, 241, 281, 301, 61, 201, 221, 341",68.86093903,2
Default,-3,1.2,628159,1,0.05,100,8,347,correlationbias_uns,0.69774475,0.814624401,"41, 121, 141, 201, 221, 301, 381, 61, 281, 241, 321","21, 101, 261, 341, 361, 1, 41, 81, 121, 161, 181, 241, 301, 201, 281",68.86093903,2
Default,-3,1.2,532196,1,0.05,100,6,217,structured,0.895723981,0.593340511,"1, 21, 41, 61, 81, 141, 161, 221, 241, 301, 321, 341, 381, 101, 121, 181, 261","181, 201, 221, 281, 301, 321, 361, 381, 21, 41, 61, 101, 121, 141, 241, 261, 1, 81, 161",110.347311,3
Default,-3,1.2,532196,1,0.05,100,6,217,unstructured,2.358022396,0.381420153,"41, 61, 141, 221, 301, 381, 121, 201, 281, 361","1, 81, 101, 161, 181, 241, 261, 321, 341, 21",42.44442797,3
Default,-3,1.2,532196,1,0.05,100,6,217,joint,1.40668861,0.402038546,"41, 61, 141, 221, 301, 381, 121, 201, 281, 361","1, 21, 81, 161, 181, 241, 261, 321, 341, 101, 361",66.03577709,3
Default,-3,1.2,532196,1,0.05,100,6,217,unstructuredcov,3.26886966,0.579870681,"41, 61, 141, 221, 301, 381, 121, 201, 281, 361","1, 81, 101, 161, 181, 241, 261, 321, 341, 21, 361",41.06634879,3
Default,-3,1.2,532196,1,0.05,100,6,217,jointcov,0.81795712,0.707083737,"1, 21, 41, 61, 141, 281, 381, 121, 181, 201, 221, 301, 361","81, 101, 161, 181, 261, 321, 341, 1, 241, 301, 21, 121, 201, 281, 361",66.44980001,3
Default,-3,1.2,532196,1,0.05,100,6,217,covariate,0.93891773,0.64723344,"1, 21, 81, 161, 321, 341, 381, 61, 101, 121, 181, 241, 261, 141, 221, 301","101, 141, 181, 261, 201, 221, 281, 301, 321, 361, 381, 21, 41, 61, 121, 161, 241, 341",22.81130409,3
Default,-3,1.2,532196,1,0.05,100,6,217,covariatebias,0.785107528,0.650150406,"1, 21, 81, 161, 321, 381, 61, 101, 121, 181, 241, 261, 341, 141, 221, 301","81, 101, 121, 141, 161, 181, 221, 261, 281, 341, 21, 201, 301, 321, 361, 381, 41, 61, 241",18.43105388,3
Default,-3,1.2,532196,1,0.05,100,6,217,correlation_str,1.034866003,0.732938623,"1, 21, 41, 61, 81, 141, 281, 381, 121, 181, 201, 261, 221, 321, 301","81, 101, 161, 181, 261, 321, 241, 281, 301, 341, 361, 1, 21, 41, 121, 201, 141, 221",82.35471106,3
Default,-3,1.2,532196,1,0.05,100,6,217,correlation_uns,1.369995921,0.38792083,"41, 61, 141, 221, 301, 381, 121, 201, 281, 361","1, 21, 81, 161, 181, 241, 261, 321, 341, 101, 361",82.35471106,3
Default,-3,1.2,532196,1,0.05,100,6,217,correlationbias_str,0.88379032,0.764047635,"1, 21, 41, 61, 81, 141, 161, 281, 381, 121, 181, 201, 261, 321, 341, 361, 221, 301","81, 101, 161, 181, 261, 341, 201, 221, 241, 281, 301, 321, 361, 381, 1, 21, 41, 121, 141",61.25150299,3
Default,-3,1.2,532196,1,0.05,100,6,217,correlationbias_uns,0.910770481,0.690754027,"21, 41, 61, 141, 221, 281, 301, 381, 121, 181, 201, 361","1, 81, 101, 161, 181, 261, 321, 341, 241, 301, 21, 121, 201, 361",61.25150299,3
Default,-3,1.2,675200,1,0.05,100,29,638,structured,1.114466692,0.540692736,"61, 121, 141, 161, 201, 221, 301, 381, 281, 321, 361, 1, 81, 261, 241","41, 121, 341, 361, 21, 161, 181, 201, 281, 1, 81, 241, 261, 301, 381, 61, 221",28.83164883,4
Default,-3,1.2,675200,1,0.05,100,29,638,unstructured,2.286599692,0.269806391,"61, 141, 221, 301, 381, 281, 361","1, 81, 161, 241, 321, 21, 101, 181",39.44225597,4
Default,-3,1.2,675200,1,0.05,100,29,638,joint,1.089111575,0.302061339,"1, 141, 221, 301, 381, 61, 81, 161, 241, 321, 361","21, 41, 101, 121, 181, 261, 341, 361, 201, 281",72.81816506,4
Default,-3,1.2,675200,1,0.05,100,29,638,unstructuredcov,3.776956335,0.774874951,"381, 61, 141, 221, 301, 281, 361","1, 41, 61, 121, 261, 361, 21, 81, 101, 161, 181, 241, 321, 201, 281, 341",50.29687691,4
Default,-3,1.2,675200,1,0.05,100,29,638,jointcov,0.430993111,0.813679971,"1, 41, 121, 141, 361, 381, 21, 61, 101, 161, 181, 221, 241, 301, 81, 321, 341","21, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 281, 321, 341, 361, 1, 221, 301, 41, 381",72.80216384,4
Default,-3,1.2,675200,1,0.05,100,29,638,covariate,0.675315802,0.517284062,"61, 141, 161, 221, 321, 381, 1, 21, 101, 181, 201, 261, 281, 301, 341, 81, 241","1, 21, 101, 121, 161, 181, 201, 261, 281, 361, 301, 41, 221, 241, 321, 341, 381, 61, 81, 141",21.68923998,4
Default,-3,1.2,675200,1,0.05,100,29,638,covariatebias,0.669428243,0.518952607,"61, 141, 161, 221, 321, 381, 1, 21, 101, 181, 261, 281, 301, 341, 81, 241, 201","1, 21, 81, 101, 121, 161, 181, 201, 261, 281, 341, 361, 41, 221, 241, 301, 321, 381, 61, 141",23.67335391,4
Default,-3,1.2,675200,1,0.05,100,29,638,correlation_str,0.586605353,0.654943809,"61, 141, 221, 301, 381, 21, 101, 181, 81, 161, 241, 261, 321","1, 21, 81, 101, 121, 161, 181, 201, 241, 261, 281, 321, 341, 361, 41, 381, 61, 221",80.57260799,4
Default,-3,1.2,675200,1,0.05,100,29,638,correlation_uns,1.171150319,0.279224771,"1, 141, 221, 301, 381, 61, 321, 161, 361","21, 41, 101, 121, 181, 261, 341, 361, 201, 281",80.57260799,4
Default,-3,1.2,675200,1,0.05,100,29,638,correlationbias_str,0.476792677,0.766450224,"1, 61, 141, 221, 301, 381, 21, 101, 181, 81, 161, 241, 261, 321, 121","21, 41, 61, 81, 101, 121, 161, 181, 201, 241, 261, 281, 341, 361, 1, 301, 321, 221, 141",75.41931415,4
Default,-3,1.2,675200,1,0.05,100,29,638,correlationbias_uns,0.409044505,0.825138306,"1, 41, 141, 381, 21, 61, 101, 121, 221, 301, 161, 181, 241, 321, 361","101, 121, 141, 161, 181, 201, 241, 281, 341, 361, 41, 81, 221, 261, 1, 321, 381, 61",75.41931415,4
Default,-3,1.2,820114,1,0.05,100,11,422,structured,0.692373559,0.695253641,"1, 21, 81, 161, 381, 61, 101, 181, 201, 281, 361, 41, 121, 261, 341","41, 61, 81, 101, 141, 181, 201, 221, 241, 261, 321, 361, 301, 341, 381, 21, 161",77.62143993,5
Default,-3,1.2,820114,1,0.05,100,11,422,unstructured,1.991110856,0.617829777,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381","1, 21, 81, 161, 241, 321, 261, 341, 101, 181",45.98063016,5
Default,-3,1.2,820114,1,0.05,100,11,422,joint,1.144625257,0.630856546,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381","1, 21, 101, 161, 241, 261, 321, 341, 81, 181",69.56997895,5
