,lambda,env.beta,seed,sigma2x,kappa,nsamp,section,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Total,-3,1.2,849553,1,0.05,250,left,5,379,structured,1.047806641,-0.352097801,"61, 81, 161, 241, 181, 201, 261, 281, 341, 361, 21, 41, 101, 121, 141, 321, 221, 301, 381","1, 21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 161, 241, 321",35.70860696,1
Total1,-3,1.2,849553,1,0.05,250,left,5,379,joint,2.158004122,0.084047621,"141, 221, 301, 381, 61, 361, 41, 281","1, 81, 101, 161, 181, 241, 261, 321, 341, 21",41.33367705,1
Total2,-3,1.2,849553,1,0.05,250,left,5,379,jointcov,0.44336139,0.725812849,"1, 61, 141, 381, 41, 81, 121, 261, 281, 361, 21, 101, 221, 301, 201","81, 121, 161, 181, 221, 241, 261, 281, 301, 321, 341, 361, 1, 21, 61, 141",42.56947303,1
Total3,-3,1.2,849553,1,0.05,250,left,5,379,covariate,1.005623329,-0.235510023,"1, 61, 81, 141, 161, 181, 241, 261, 281, 341, 361, 41, 101, 121, 201, 21, 221, 301, 321, 381","101, 121, 141, 181, 201, 221, 281, 301, 341, 361, 381, 1, 21, 41, 61, 81, 161, 241, 321",25.26503491,1
Total4,-3,1.2,849553,1,0.05,250,left,5,379,covariatebias,0.99392089,-0.27253606,"1, 61, 81, 161, 181, 241, 201, 261, 281, 341, 361, 41, 101, 121, 141, 321, 21, 221, 381","21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 1, 81, 161, 241, 321",25.00250006,1
Total5,-3,1.2,849553,1,0.05,250,left,5,379,correlation_str,1.487309702,-0.093505658,"301, 381, 141, 221, 261, 361, 41, 61, 121, 201, 281","1, 21, 41, 61, 81, 101, 121, 181, 261, 321, 341, 161, 241",57.38225102,1
Total6,-3,1.2,849553,1,0.05,250,left,5,379,correlation_uns,1.380001092,0.092365268,"241, 301, 381, 61, 141, 221, 21, 1","41, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 61, 141",57.38225102,1
Total7,-3,1.2,849553,1,0.05,250,left,5,379,correlationbias_str,0.63103417,0.479573647,"61, 81, 101, 141, 161, 181, 241, 41, 121, 201, 261, 281, 341, 361, 381, 1, 221, 21, 301, 321","1, 61, 101, 121, 181, 201, 221, 281, 301, 341, 361, 381, 21, 41, 81, 141, 161, 241, 261, 321",49.23541903,1
Total8,-3,1.2,849553,1,0.05,250,left,5,379,correlationbias_uns,0.420419908,0.738099455,"1, 41, 61, 101, 121, 141, 181, 361, 381, 81, 261, 281, 21, 221, 301","81, 101, 161, 181, 201, 281, 301, 321, 341, 1, 21, 41, 121, 141, 241, 261, 381, 361",49.23541903,1
Total9,-3,1.2,849553,1,0.05,250,right,13,379,structured,0.585373502,0.032360063,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 361, 201, 341","141, 221, 301, 361, 201, 281, 321, 341, 381, 1, 21, 121, 41, 161, 181, 241, 261",54.2663691,2
Total10,-3,1.2,849553,1,0.05,250,right,13,379,joint,2.424296374,0.118243832,"81, 101, 161, 181, 241, 261, 321, 1, 341, 21","61, 141, 221, 301, 381, 361, 41, 281",42.45324898,2
Total11,-3,1.2,849553,1,0.05,250,right,13,379,jointcov,0.551338078,0.797886903,"41, 61, 101, 121, 141, 181, 201, 221, 261, 361, 381, 341, 1, 21, 81, 281","81, 141, 221, 301, 321, 361, 1, 21, 41, 161, 181, 201, 281, 381, 61, 121, 241",50.58744788,2
Total12,-3,1.2,849553,1,0.05,250,right,13,379,covariate,0.5500476,0.173484935,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 341, 361, 201, 21","141, 201, 221, 281, 301, 41, 81, 101, 181, 261, 321, 381, 1, 61, 361",24.48207378,2
Total13,-3,1.2,849553,1,0.05,250,right,13,379,covariatebias,0.572356912,0.052877238,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 201, 341","121, 141, 221, 281, 301, 361, 201, 321, 341, 381, 21, 61, 41, 161",23.29253197,2
Total14,-3,1.2,849553,1,0.05,250,right,13,379,correlation_str,0.942991989,0.205394831,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 341, 41, 121","141, 221, 301, 381, 181, 201, 261, 281, 341, 361, 41, 61, 101, 121",58.64365792,2
Total15,-3,1.2,849553,1,0.05,250,right,13,379,correlation_uns,1.337637765,0.104701709,"241, 301, 381, 61, 141, 221, 21, 101, 161, 1, 81","1, 41, 61, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 141",58.64365792,2
Total16,-3,1.2,849553,1,0.05,250,right,13,379,correlationbias_str,0.482941882,0.817221923,"1, 21, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 381, 41, 121, 281, 341","1, 141, 221, 301, 361, 101, 341, 381, 41, 61, 121, 181, 241, 261, 21, 161, 201, 281, 321",49.31574488,2
Total17,-3,1.2,849553,1,0.05,250,right,13,379,correlationbias_uns,0.390963001,0.773664183,"1, 41, 61, 101, 121, 141, 181, 361, 381, 81, 201, 261, 281, 21, 221, 301, 341","81, 101, 161, 181, 201, 221, 281, 301, 321, 341, 361, 1, 21, 41, 121, 141, 241, 261, 381",49.31574488,2
Total18,-3,1.2,849553,1,0.05,250,midleft,32,379,structured,0.437093109,0.677423156,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 201, 281, 361, 341","61, 201, 361, 1, 81, 101, 121, 141, 161, 221, 241, 181, 281, 301, 341, 41, 321",66.78758097,3
Total19,-3,1.2,849553,1,0.05,250,midleft,32,379,joint,1.442564662,0.104656339,"141, 221, 301, 381, 61, 361, 41","1, 21, 81, 101, 181, 261, 341, 241",45.51073599,3
Total20,-3,1.2,849553,1,0.05,250,midleft,32,379,jointcov,0.411061804,0.751880815,"1, 41, 61, 121, 141, 181, 361, 381, 81, 261, 281, 21, 101, 221, 301, 341","81, 101, 161, 181, 201, 241, 281, 301, 341, 361, 381, 1, 21, 121, 141, 261, 41",49.27661109,3
Total21,-3,1.2,849553,1,0.05,250,midleft,32,379,covariate,0.471707901,0.632642717,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 281, 301, 361, 341","121, 141, 201, 281, 341, 381, 21, 61, 101, 221, 241, 301, 361, 1, 41, 181, 261, 321, 161",24.64029408,3
Total22,-3,1.2,849553,1,0.05,250,midleft,32,379,covariatebias,0.451200959,0.643493551,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 21, 281, 301, 361, 341","121, 281, 341, 381, 21, 61, 101, 161, 221, 241, 301, 1, 41, 141, 261, 181, 201",25.28810287,3
Total23,-3,1.2,849553,1,0.05,250,midleft,32,379,correlation_str,0.570886079,0.494934121,"81, 101, 141, 161, 181, 221, 241, 301, 381, 61","41, 61, 361, 381, 1, 21, 101, 121, 181, 201, 241, 261, 321, 341, 161",58.26828909,3
Total24,-3,1.2,849553,1,0.05,250,midleft,32,379,correlation_uns,1.377987403,0.099217465,"241, 301, 381, 61, 141, 221, 21, 1","41, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 61, 141",58.26828909,3
Total25,-3,1.2,849553,1,0.05,250,midleft,32,379,correlationbias_str,0.387488104,0.762218617,"41, 61, 101, 121, 141, 161, 181, 241, 261, 361, 381, 1, 81, 201, 281, 21, 221, 301, 321, 341","1, 81, 181, 201, 221, 281, 301, 321, 341, 361, 21, 121, 141, 161, 241, 261, 41, 101, 381",53.69993281,3
Total26,-3,1.2,849553,1,0.05,250,midleft,32,379,correlationbias_uns,0.394381382,0.768775479,"1, 41, 61, 101, 121, 141, 181, 361, 381, 81, 261, 281, 21, 221, 301, 341","81, 101, 161, 181, 201, 241, 281, 301, 321, 341, 361, 1, 21, 121, 141, 261, 41, 381",53.69993281,3
Total27,-3,1.2,849553,1,0.05,250,midright,39,379,structured,0.61561266,0.292661839,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 341","201, 301, 341, 41, 141, 261, 1, 221, 21, 101, 121, 281, 321",66.48150802,4
Total28,-3,1.2,849553,1,0.05,250,midright,39,379,joint,1.291541754,0.163315701,"81, 101, 161, 181, 241, 261, 321, 1, 341, 21","41, 61, 121, 141, 201, 221, 281, 301, 361, 381, 21, 181, 261",46.98422194,4
Total29,-3,1.2,849553,1,0.05,250,midright,39,379,jointcov,0.416370217,0.796085181,"1, 21, 41, 61, 101, 121, 141, 181, 221, 261, 381, 161, 341, 81, 281, 361","81, 121, 141, 161, 201, 301, 321, 341, 361, 381, 101, 221, 241, 261, 281, 1, 41, 61, 181",48.27937913,4
Total30,-3,1.2,849553,1,0.05,250,midright,39,379,covariate,0.8896964,0.008850141,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 341","301, 381, 41, 221, 281, 361, 121, 141, 261, 21, 61, 201",25.09555197,4
Total31,-3,1.2,849553,1,0.05,250,midright,39,379,covariatebias,0.789322021,0.100697874,"1, 21, 61, 81, 101, 141, 161, 181, 241, 261, 321, 341","201, 301, 381, 41, 221, 261, 281, 361, 81, 141, 61, 121",24.83718491,4
Total32,-3,1.2,849553,1,0.05,250,midright,39,379,correlation_str,0.926049263,0.260696774,"1, 21, 81, 101, 161, 181, 241, 261, 321, 341","61, 201, 221, 281, 301, 341, 361, 381, 41, 101, 121, 141, 181",59.90396094,4
Total33,-3,1.2,849553,1,0.05,250,midright,39,379,correlation_uns,1.296112316,0.123686893,"241, 301, 381, 141, 221, 321, 21, 61, 101, 161, 1, 81","1, 41, 61, 101, 121, 141, 181, 201, 261, 281, 341, 381, 21, 361",59.90396094,4
Total34,-3,1.2,849553,1,0.05,250,midright,39,379,correlationbias_str,0.460881857,0.771532327,"21, 41, 61, 101, 141, 161, 181, 221, 241, 261, 321, 381, 1, 121, 341, 81, 281","1, 121, 201, 301, 341, 361, 381, 41, 81, 101, 141, 221, 261, 281, 161, 61, 241, 321",50.03956008,4
Total35,-3,1.2,849553,1,0.05,250,midright,39,379,correlationbias_uns,0.38335078,0.786982884,"1, 61, 101, 141, 181, 381, 41, 81, 121, 201, 261, 281, 361, 21, 221, 301, 341","81, 101, 121, 161, 181, 201, 301, 321, 341, 361, 381, 1, 21, 41, 61, 141, 221, 241, 281, 261",50.03956008,4
Total36,-3,1.2,849553,1,0.05,250,bottom,9,379,structured,2.780857854,-0.430140903,"201, 241, 261, 281, 321, 341, 361, 21, 41, 61, 101, 121, 141, 161, 181, 221, 301, 381","1, 21, 41, 61, 81, 101, 121, 141, 181, 201, 221, 261, 281, 301, 321, 341, 361, 381, 161",59.58772898,5
Total37,-3,1.2,849553,1,0.05,250,bottom,9,379,joint,1.351111051,0.098775786,"241, 1, 301, 321, 381, 21, 61, 81, 101, 141, 161, 221","41, 61, 121, 141, 181, 201, 281, 301, 341, 361, 381, 21, 101, 261",42.33031297,5
Total38,-3,1.2,849553,1,0.05,250,bottom,9,379,jointcov,0.556997306,0.688232764,"61, 101, 141, 161, 181, 241, 261, 321, 381, 41, 121, 341, 1, 21, 81, 281, 361, 221, 301","1, 121, 141, 221, 281, 301, 361, 381, 21, 41, 61, 81, 161, 181, 201, 261, 341, 241, 321",44.86091685,5
Total39,-3,1.2,849553,1,0.05,250,bottom,9,379,covariate,1.666643019,-0.421390562,"261, 361, 81, 101, 121, 161, 181, 201, 241, 281, 321, 341, 21, 41, 141, 221, 301, 381","1, 21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 161, 241",24.39084601,5
Total40,-3,1.2,849553,1,0.05,250,bottom,9,379,covariatebias,1.257322484,-0.419483647,"161, 241, 261, 281, 341, 361, 41, 81, 101, 121, 181, 201, 321, 21, 141, 221, 381","1, 21, 41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 161, 241, 321",23.8314712,5
Total41,-3,1.2,849553,1,0.05,250,bottom,9,379,correlation_str,1.108068351,-0.286459533,"81, 161, 241, 261, 281, 361, 41, 61, 121, 141, 181, 201, 221, 301, 341, 381, 21","41, 61, 101, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 1, 21, 81, 161, 241, 321",54.0776341,5
Total42,-3,1.2,849553,1,0.05,250,bottom,9,379,correlation_uns,1.355323473,0.094810813,"241, 301, 381, 141, 221, 21, 61, 101, 161, 1, 81","41, 61, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 141",54.0776341,5
Total43,-3,1.2,849553,1,0.05,250,bottom,9,379,correlationbias_str,0.611505717,0.277379069,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 201, 281, 341, 361, 41, 121, 221, 21, 381","61, 121, 201, 221, 281, 301, 341, 361, 381, 1, 21, 41, 81, 101, 141, 161, 181, 241, 261, 321",48.16384602,5
Total44,-3,1.2,849553,1,0.05,250,bottom,9,379,correlationbias_uns,0.412215925,0.744612108,"1, 41, 61, 101, 121, 141, 181, 381, 81, 261, 281, 21, 221, 301, 341","81, 101, 121, 161, 181, 201, 221, 281, 301, 321, 341, 361, 1, 21, 41, 61, 141, 241, 261",48.16384602,5
Total45,-3,1.2,849553,1,0.05,250,top,8,379,structured,5.877039383,-0.432542848,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381","281, 341, 1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 301, 321, 361, 381",25.70292592,6
Total46,-3,1.2,849553,1,0.05,250,top,8,379,joint,1.348457401,0.128769565,"141, 221, 301, 381, 61, 361, 41","1, 21, 81, 101, 181, 261, 341, 41, 241",43.09800887,6
Total47,-3,1.2,849553,1,0.05,250,top,8,379,jointcov,0.394895817,0.782417297,"1, 41, 61, 121, 141, 181, 361, 381, 81, 201, 261, 281, 21, 101, 221, 301, 321, 341","21, 181, 201, 221, 241, 281, 301, 321, 341, 381, 1, 41, 81, 121, 161, 261, 101, 141, 361",44.37271881,6
Total48,-3,1.2,849553,1,0.05,250,top,8,379,covariate,1.566790111,-0.368971818,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381","261, 81, 101, 121, 161, 181, 281, 321, 341, 361, 1, 21, 41, 61, 141, 201, 221, 301, 381",24.78094792,6
Total49,-3,1.2,849553,1,0.05,250,top,8,379,covariatebias,1.048641954,-0.341696934,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 321, 341, 361, 381","181, 201, 281, 361, 1, 21, 41, 61, 141, 161, 221, 241, 321, 341, 381, 81, 121, 261, 301",24.24056602,6
Total50,-3,1.2,849553,1,0.05,250,top,8,379,correlation_str,1.774121231,-0.366577213,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381","81, 121, 161, 181, 201, 241, 261, 281, 321, 341, 361, 1, 21, 41, 61, 101, 141, 221, 301, 381",54.27762699,6
Total51,-3,1.2,849553,1,0.05,250,top,8,379,correlation_uns,1.365753794,0.096288449,"241, 301, 381, 61, 141, 221, 21, 101, 161, 1, 81","41, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 61, 141",54.27762699,6
Total52,-3,1.2,849553,1,0.05,250,top,8,379,correlationbias_str,0.544329101,0.476922697,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 361, 381","381, 21, 41, 141, 221, 301, 1, 61, 81, 121, 181, 201, 261, 321, 341, 361, 101, 161, 281",50.96216488,6
Total53,-3,1.2,849553,1,0.05,250,top,8,379,correlationbias_uns,0.403936481,0.762036329,"1, 41, 61, 101, 121, 141, 181, 361, 381, 81, 261, 281, 21, 221, 301, 341","81, 101, 161, 181, 201, 241, 281, 301, 321, 341, 1, 21, 41, 121, 141, 261, 381, 361",50.96216488,6
Total54,-3,1.2,849553,1,0.05,250,midbottom,27,379,structured,0.537302235,0.557758301,"1, 61, 81, 141, 161, 181, 221, 241, 261, 281, 321, 361, 21, 41, 201, 121, 341","1, 21, 41, 61, 101, 121, 181, 261, 341, 381, 81, 161, 241, 321, 281, 301, 361, 141, 201, 221",86.13619614,7
Total55,-3,1.2,849553,1,0.05,250,midbottom,27,379,joint,1.212530372,0.137287264,"61, 141, 221, 301, 381, 281, 361","1, 41, 61, 101, 121, 141, 181, 261, 341, 21, 281, 361",54.02032018,7
Total56,-3,1.2,849553,1,0.05,250,midbottom,27,379,jointcov,0.422785261,0.736297896,"1, 61, 141, 181, 221, 381, 41, 81, 121, 201, 261, 281, 21, 101, 301, 361","81, 101, 121, 161, 181, 201, 241, 261, 301, 341, 381, 1, 21, 41, 281, 321",49.33059716,7
Total57,-3,1.2,849553,1,0.05,250,midbottom,27,379,covariate,0.450096033,0.613782035,"1, 21, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 121, 201, 281, 341","101, 301, 381, 21, 41, 121, 221, 241, 281, 341, 201, 361, 61, 81, 161, 181, 321",25.52956295,7
Total58,-3,1.2,849553,1,0.05,250,midbottom,27,379,covariatebias,0.455015902,0.613526612,"1, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 121, 281, 201, 341, 21","301, 381, 1, 21, 41, 81, 121, 161, 221, 241, 341, 101, 281, 361, 181, 321",25.30842423,7
Total59,-3,1.2,849553,1,0.05,250,midbottom,27,379,correlation_str,0.502780912,0.523301294,"1, 61, 81, 101, 141, 161, 181, 241, 261, 221, 301, 381, 121, 201, 361","181, 201, 301, 381, 1, 21, 101, 141, 241, 261, 321, 341, 121, 161, 361",70.68860292,7
Total60,-3,1.2,849553,1,0.05,250,midbottom,27,379,correlation_uns,1.352423908,0.106388881,"241, 141, 301, 381, 21, 61, 221, 1, 81","41, 61, 101, 121, 141, 181, 201, 261, 281, 341, 381, 21, 361",70.68860292,7
Total61,-3,1.2,849553,1,0.05,250,midbottom,27,379,correlationbias_str,0.399699409,0.745040344,"61, 81, 101, 141, 161, 181, 221, 241, 261, 381, 1, 21, 41, 121, 201, 281, 361, 301, 341","1, 101, 181, 201, 281, 301, 321, 341, 381, 21, 41, 81, 121, 141, 161, 221, 241, 261, 361",52.04230905,7
Total62,-3,1.2,849553,1,0.05,250,midbottom,27,379,correlationbias_uns,0.3939886,0.765420942,"1, 41, 61, 101, 121, 141, 181, 221, 381, 81, 261, 281, 21, 301, 341","81, 101, 161, 181, 201, 301, 321, 341, 361, 381, 1, 21, 121, 221, 241, 41, 261, 281",52.04230905,7
Total63,-3,1.2,849553,1,0.05,250,midtop,38,379,structured,0.795612297,-0.301329276,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 321, 341, 361, 381","181, 281, 301, 41, 61, 141, 381, 1, 161, 221, 241, 321",66.80205107,8
Total64,-3,1.2,849553,1,0.05,250,midtop,38,379,joint,1.123975016,0.214044457,"61, 141, 221, 301, 381, 361, 41","1, 21, 41, 81, 101, 121, 181, 261, 341, 61, 281, 361",48.60344505,8
Total65,-3,1.2,849553,1,0.05,250,midtop,38,379,jointcov,0.381215892,0.797615059,"1, 41, 61, 121, 141, 181, 201, 281, 301, 361, 381, 81, 261, 21, 101, 341, 321","101, 141, 181, 201, 221, 241, 281, 321, 341, 381, 21, 41, 61, 161, 261, 301, 121, 361",49.720222,8
Total66,-3,1.2,849553,1,0.05,250,midtop,38,379,covariate,0.59646061,0.377285071,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 301, 321, 361, 381","301, 61, 81, 181, 201, 221, 241, 321, 341, 361, 101, 121, 141, 261, 281, 381, 1, 41, 161",25.38326621,8
Total67,-3,1.2,849553,1,0.05,250,midtop,38,379,covariatebias,0.614016171,0.310829517,"1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 321, 361, 381","161, 181, 221, 341, 361, 101, 121, 261, 281, 301, 321, 381, 1, 41, 61",27.88272715,8
Total68,-3,1.2,849553,1,0.05,250,midtop,38,379,correlation_str,0.412150043,0.743392999,"21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 241, 261, 321, 361, 381, 281, 341","1, 281, 301, 361, 21, 41, 81, 101, 141, 161, 181, 201, 241, 261, 321, 341, 121, 221, 381, 61",54.6202178,8
Total69,-3,1.2,849553,1,0.05,250,midtop,38,379,correlation_uns,1.344778123,0.107650277,"241, 301, 381, 61, 141, 221, 21, 101, 161, 1, 81","41, 101, 121, 181, 201, 261, 281, 341, 361, 381, 21, 61, 141",54.6202178,8
Total70,-3,1.2,849553,1,0.05,250,midtop,38,379,correlationbias_str,0.360221258,0.80303933,"1, 41, 61, 101, 121, 141, 181, 201, 281, 301, 361, 381, 81, 261, 21, 321, 341","81, 101, 141, 161, 181, 201, 221, 281, 321, 341, 381, 1, 241, 261, 301, 41, 121, 61, 361",59.58531904,8
Total71,-3,1.2,849553,1,0.05,250,midtop,38,379,correlationbias_uns,0.376979091,0.799181319,"1, 41, 61, 101, 121, 141, 181, 301, 361, 381, 81, 261, 281, 21, 221, 201, 321, 341","101, 181, 201, 221, 241, 281, 301, 321, 341, 381, 1, 21, 41, 81, 121, 141, 161, 261, 61, 361",59.58531904,8
Total72,-3,1.2,849553,1,0.05,250,whole,52,379,structured,0.435388313,0.660466078,"1, 61, 81, 101, 141, 161, 181, 241, 261, 321, 201, 281, 361, 341","61, 301, 381, 141, 201, 341, 1, 101, 121, 181, 41, 161, 221, 241, 261, 281, 321",77.37207198,9
Total73,-3,1.2,849553,1,0.05,250,whole,52,379,joint,1.025605456,0.229508835,"141, 221, 241, 301, 381, 361, 21, 41, 61, 1, 201, 281","1, 21, 41, 61, 101, 121, 141, 181, 261, 341, 81, 281, 361",60.82572103,9
Total74,-3,1.2,849553,1,0.05,250,whole,52,379,jointcov,0.351690829,0.819633868,"1, 21, 41, 61, 101, 121, 141, 181, 221, 381, 81, 201, 261, 281, 361, 341, 301, 321","81, 101, 121, 161, 181, 201, 241, 301, 341, 1, 21, 41, 141, 221, 261, 281, 321, 61, 361, 381",52.9304781,9
Total75,-3,1.2,849553,1,0.05,250,whole,52,379,covariate,0.422442268,0.643624846,"1, 21, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 41, 121, 281, 341","301, 381, 21, 41, 121, 221, 241, 1, 101, 141, 181, 281, 61, 161, 261, 361",26.18273187,9
Total76,-3,1.2,849553,1,0.05,250,whole,52,379,covariatebias,0.4193581,0.646788659,"1, 21, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 121, 281, 341","301, 381, 1, 21, 41, 81, 121, 161, 241, 281, 101, 141, 221, 261, 61",26.58806705,9
Total77,-3,1.2,849553,1,0.05,250,whole,52,379,correlation_str,0.390380116,0.741372168,"1, 21, 61, 81, 101, 141, 161, 181, 221, 241, 261, 321, 41, 121, 201, 281, 341, 381","181, 201, 281, 301, 381, 1, 21, 101, 141, 241, 261, 321, 41, 121, 341, 81, 161, 361",64.38970995,9
Total78,-3,1.2,849553,1,0.05,250,whole,52,379,correlation_uns,1.331639057,0.114207466,"241, 301, 381, 141, 221, 21, 61, 101, 161, 1, 81, 361","41, 61, 101, 121, 141, 181, 201, 261, 281, 341, 381, 21, 361",64.38970995,9
Total79,-3,1.2,849553,1,0.05,250,whole,52,379,correlationbias_str,0.344064756,0.816804744,"21, 41, 61, 101, 141, 161, 181, 221, 241, 261, 361, 381, 1, 81, 121, 201, 281, 321, 341","1, 81, 101, 121, 181, 201, 301, 321, 341, 381, 21, 41, 141, 161, 221, 241, 281, 261, 61, 361",60.77723694,9
Total80,-3,1.2,849553,1,0.05,250,whole,52,379,correlationbias_uns,0.357144395,0.813528398,"1, 41, 61, 101, 121, 141, 181, 221, 381, 21, 81, 201, 261, 281, 361, 341, 301, 321","81, 101, 121, 161, 181, 241, 301, 341, 361, 381, 1, 21, 41, 221, 261, 281, 321, 201, 61, 141",60.77723694,9
Total81,-3,1.2,849553,1,0.05,250,whole,52,379,unstructured,2.501469619,0.092932531,"141, 221, 301, 381, 61, 361, 41","81, 101, 161, 181, 241, 261, 321, 1, 341, 21",34.26920199,9
Total82,-3,1.2,849553,1,0.05,250,whole,52,379,unstructuredcov,4.693287922,0.736652115,"1, 81, 201, 261, 281, 361, 381, 61, 141, 221, 301, 321","41, 61, 101, 121, 141, 181, 201, 281, 301, 361, 381, 341, 1, 21, 81, 261",34.82494402,9
Total83,-3,1.2,304058,1,0.05,250,left,9,346,structured,0.668873327,0.752272724,"41, 61, 161, 241, 281, 321, 1, 21, 81, 101, 141, 181, 221, 301, 121, 201, 261, 341, 361, 381","61, 81, 101, 141, 201, 221, 261, 281, 301, 341, 361, 381, 41, 121, 241, 321, 1, 21, 161, 181",29.78582191,10
Total84,-3,1.2,304058,1,0.05,250,left,9,346,joint,1.290175796,0.612270275,"221, 281, 301, 361, 381, 61, 141, 201","1, 21, 81, 101, 161, 181, 241, 261, 321, 341",41.43847895,10
Total85,-3,1.2,304058,1,0.05,250,left,9,346,jointcov,0.524929251,0.919894279,"61, 141, 181, 201, 221, 241, 301, 341, 21, 41, 101, 121, 161, 261, 81, 281, 361, 381","1, 41, 81, 241, 281, 321, 341, 361, 381, 21, 61, 141, 161, 181, 221, 261, 121, 301",42.19998693,10
Total86,-3,1.2,304058,1,0.05,250,left,9,346,covariate,0.547020347,0.815468656,"141, 161, 241, 321, 1, 21, 81, 101, 181, 221, 301, 381, 121, 261, 281, 341, 361","21, 41, 61, 81, 101, 141, 201, 221, 261, 281, 301, 341, 361, 381, 121, 241, 321, 161, 181",26.06305099,10
Total87,-3,1.2,304058,1,0.05,250,left,9,346,covariatebias,0.817179744,0.808298316,"61, 141, 161, 181, 201, 221, 241, 261, 301, 321, 341, 361, 1, 21, 41, 81, 101, 121, 281, 381","1, 21, 41, 101, 281, 141, 221, 261, 301, 321, 341, 361, 381, 81, 121, 161, 181, 201, 241, 61",24.40749097,10
Total88,-3,1.2,304058,1,0.05,250,left,9,346,correlation_str,1.191336445,0.652472664,"61, 141, 201, 221, 281, 301, 361, 381","1, 81, 101, 161, 181, 241, 261, 321, 341, 21",61.85268593,10
Total89,-3,1.2,304058,1,0.05,250,left,9,346,correlation_uns,1.030732114,0.614166709,"241, 1, 21, 61, 81, 101, 141, 161, 181, 221, 301, 381, 321","21, 41, 61, 101, 121, 141, 181, 201, 261, 281, 341, 361",61.85268593,10
Total90,-3,1.2,304058,1,0.05,250,left,9,346,correlationbias_str,0.448519116,0.913760262,"61, 141, 161, 181, 201, 221, 241, 321, 341, 1, 21, 41, 81, 101, 121, 301, 281, 361, 381","1, 21, 81, 141, 301, 361, 61, 201, 221, 241, 261, 101, 121, 181, 41, 281, 321",47.99847198,10
Total91,-3,1.2,304058,1,0.05,250,left,9,346,correlationbias_uns,0.339061015,0.922246591,"1, 61, 141, 201, 221, 281, 341, 21, 41, 101, 161, 181, 301, 381, 121, 361, 81, 241, 321","21, 121, 161, 321, 381, 1, 141, 221, 41, 101, 201, 241, 301, 341, 361, 61, 181",47.99847198,10
Total92,-3,1.2,304058,1,0.05,250,right,5,346,structured,0.903707568,0.60160772,"1, 61, 81, 101, 141, 161, 181, 201, 221, 241, 261, 321, 341, 21, 41","281, 381, 61, 141, 201, 221, 241, 261, 301, 321, 341, 361, 1, 21, 41, 81, 121, 161",24.63146901,11
Total93,-3,1.2,304058,1,0.05,250,right,5,346,joint,1.731358507,0.6174463,"1, 81, 161, 181, 241, 261, 321, 21, 101, 341","61, 141, 201, 221, 281, 301, 361, 381, 41",40.36083794,11
